model,year,trivia,bore/stroke,unitary displacement,total displacement,compression ratio,maximum power,power per litre,maximum torque,valve actuation,fuel feed,ignition,lubrication,clutch,frame,front suspension,rear suspension,brakes,transmission,steering,fuel tank,front tyres,rear tyres,type,length,width,height,wheelbase,front track,rear track,weight,top speed,acceleration 0-100,0-400,0-1000,motore,urban test cycle (homologation 4-1993 with precedent testethod),motorway at 90 (homologation 4-1993 with precedent testethod),motorway at 120 (homologation 4-1993 with precedent testethod),"urban test cycle ece (version ""euro 2"")","extra urban test cycle eudc (version ""euro 2"")","consumption ece+eudc (version ""euro 2"")","co2 emissions combined (version ""euro 2"")","urban test cycle ece (version ""euro 3"")","extra urban test cycle eudc (version ""euro 3"")","consumption ece+eudc (version ""euro 3"")","co2 emissions combined (version ""euro 3"")","urban test cycle ece (versione ""euro 3"")","extra urban test cycle eudc (versione ""euro 3"")","consumption ece+eudc (versione ""euro 3"")","co2 emissions combined (versione ""euro 3"")",urban test cycle ece,extra urban test cycle eudc,consumption ece+eudc,co2 emissions combined,overall length,overall width,front overhang,rear overhang,dry weight,kerb weight,boot (trunk) capacity,fuel tank capacity,weight distribution,unit displacement,specific power,dry weight/power,transmission and gearbox,electronic controls,front,rear,maximum speed,0-100 (0-62ph),manual gearbox: 0-400,manual gearbox: 0-1000,f1 gearbox: 0-400,f1 gearbox: 0-1000,combined,*,**,gearbox,maximum power*,maximum revs perinute,specific output,suspension,0-200 (0-124ph),engine intake with twin ø,chassis,overall lenght,height 4,ful tank capacity,weight/power ratio,overall displacement,maximum power**,0-100,0-1.000,cst with f1-trac system,tptms,rear:,combined (ece+eudc)*,front (option),rear (option),overall lenght (in),overall width (in),height (in),wheelbase (in),front track (in),rear track (in),dry wheight* (lb),kerb weight* (lb),fuel tank capacity (gal),boot (trunk) capacity (cu ft),front (in),rear (in),cst with f1-trac,bore and stroke (in),unit displacement (cu in),total displacement (cu in),maximum speed (mph),0-62ph (s),0-1.000 (s),weight/power ratio (lb/cv),combined* (ece+eudc) (l/100 km),combined* (ece+eudc) (g/km),specific power output,weight distribution fr/r,fuel consumption***,emissions***,electronics,***,dry weight*,kerb weight*,boot capacity,bore and stroke,maximum torque**,f1,scm,combined ece*,front (winter),"rear (winter, can be used w/ chain)",0-62ph,0-124ph,suspensions,dry wheight,maximum engine speed,fiorano lap time,rear winter,0-62ph (0-100),0-124ph (0-200),dry weight/power ratio,fuel consumption (europeanarket version),co2 emission (europeanarket version),rear bench capacity,0-437 yd (0-400),0-1093 yd (0-1000),62-0ph (100-0),124-0ph (200-0),co2 emissions ***,7 gears f1 dual clutch transmission,"e-diff3, f1-trac, high performance abs with ferrari pre-fill","rear (winter, can be used with chains)",total capacity,maximum power **,maximum revs,esc,high-performance abs/ebd,f1-trac,e-diff 3,scm-e with dual coil,0-200,"** engine power is expressed in kw, in accordance with",totalaximum power,totalaximum torque,v12aximum power*,v12aximum torque,electricotor output,co2 emissions,0-300,7-speed dct,high perf abs/ebd,ef1-trac,scm-e frs,aerodynamics,maximum revs (limiter),"esc, high performance abs/ebd, f1-trac, e-diff, scc, frd scm-e",7-speed f1 dual-clutch transmission,fuel consumption,high performance abs/ebd distribution,ssc,frs scm-e,0-400m (0-437 yd),0-1000m (0-1093 yd),100 - 0 (62 – 0ph),200 – 0 (124 – 0 kph),co2 emissions***,maximum torque*,dry weight**,kerb weight**,front (opt),rear (opt),cst with f1 trac system (control for stability and traction),maximum revs perinute (limiter),"rear (winter, can be used with chain)",7-speed f1 dual-clutch gearbox,62-0ph,124-0ph,high performance abs/ebd,f1 trac,maximum power *,maximum torque *,kerb weight **,dry weight **,"e-diff3, f1-trac, abs/ebd performance with ferrari pre-fill, frs scm-e, ssc",0-400m,0-1000m,low,mid,high,extra high,7-speed f1 dual-clutch,bore stroke,"e-diff3, f1-trac, high-performance abs with ferrari pre-fill, frs scm-e, ssc",0 – 100,0 – 200,0 – 400,0 – 1000,maximum power output*,max. revs,0-100 km/h,4rm evo/4ws/ 7-speed f1 dct/ e-diff,"ssc4/ cst with f1 trac, esp",9.0 premium with abs evo/scm - e,0 - 100,0 - 200,100 - 0,200 - 0,max. power output*,max. engine speed,"f1 dual-clutch transmission, 7-speed","esp, esc, with f1-trac, e-diff 3, scm- 					e with twin solenoid",100-0,max. torque*,f1 seven-speed dual-clutch transmission,"e-diff3, f1-trac, abs/high performance ebd with ferrari pre-fill, frs scm-e, fde, ssc 6.0",0-200 km/h,100-0 km/h,200-0 km/h,max. speed,f1 7-speed dual-clutch gearbox,"e-diff3, f1-trac, high performance abs/ebd with ferrari pre-fill, frs scm-e, ssc with fde"
125 S,1947,"This was the very first car to wear the Ferrari badge. The V12 engine was designed by Gioacchino Colombo with contributions from Giuseppe Busso and Luigi Bazzi. Sport and competition versions of the 125 S were built with different bodywork although the chassis and running gear of the cars remained basically identical. The 125 S’s debut on the Piacenza circuit was, in the words of Enzo Ferrari himself, “a promising failure.” In fact, Franco Cortese had to pull out because of a problem with the fuel pump while leading the race. However, over the following four months, the 125 S was back on the track 13 times, winning six of its races.",55 x 52.5 mm,124.73 cc,1496.77 cc,9.5 : 1,87 kW (118 hp) at 6800 rpm,79 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 30 DCF carburettors,"single spark plug per cylinder, two magnetos",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","live axle, semi-elliptic springs, hydraulic shock absorbers, anti-roll bar",drums,5-speed + reverse,worm and sector,capacity 72 litres,5.00 x 15,6.00 x 15,two-seater spider,-,-,-,2420 mm,1240 mm,1240 mm,650 kg (dry),210 km/h,-,-,-,"anteriore, longitudinale, 12V 60°",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159 S,1947,"Developed from the 125 S whose engine was increased to 1903 cc by boring it out and working on the stroke. This model too was fitted out with a monocoque body or with separate mudflap as more attention was now being paid to improving the aerodynamic penetration coefficient. It was used in only three competitions but brought the newly founded Ferrari its first international victory, the Turin Grand Prix won by Raymond Sommer in 1947.",59 x 58 mm,158.57 cc,1902.84 cc,8.5 : 1,92 kW (125 hp) at 6500 rpm,66 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 32 DCF carburettors,"single spark plug per cylinder, two magnetos",wet sump,single plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","live axle, semi-elliptic springs, hydraulic shock absorbers, anti-roll bar",drums,5-speed + reverse,worm and roller,capacity 72 litres,5.50 x 15,5.50 x 15,"spider, two-seater",-,-,-,2420 mm,1240 mm,1240 mm,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166 Inter,1948,"This was Ferrari’s first 12-cylinder engine to reach 2-litre capacity. As in the case of the 159 S, bore sizes and strokes were both increased, and as usual both open-wheel and full bodywork models were produced.",60 x 58.8 mm,166.25 cc,1995.02 cc,6.8 : 1,"66 kW (90 hp) at 5,600 rpm",45 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",single Weber 32 DCF carburettor,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring,  hydraulic shock absorbers","live axle, semi-elliptic springs, hydraulic shock absorbers, anti-roll bar",drums,5-speed + reverse,worm and sector,72 litres,5.50 x 15,5.50 x 15,"coupé, cabriolet, 2+2 or two-seater",-,-,-,2620 mm,1250 mm,1200 mm,"900 kg (dry, coupé)",150 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166 S,1948,"The 166 S was launched at the start of 1948 in both berlinetta and spider versions, both of which were built by Allemano. The berlinetta took victory in that year’s Mille Miglia, while the spider won the Giro di Sicilia.Ferrari followed this success with a one-off prototype for a production car called the 166 Sport, but the name was quickly changed to 166 Inter, in which guise Allemano, Touring, Bertone, Ghia, Vignale and Stabilimenti Farina all went on to create some memorable interpretations, both open top and otherwise. These cars were custom-built to the owners’ specifications and the most common request was for the three carburettor option.",60 x 58.8 mm,166.25 cc,1995.02 cc,7.5 : 1,81 kW (110 hp) at 6000 rpm,55 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 32 DCF carburettors,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","live axle, semi-elliptic springs, hydraulic shock absorbers, anti-roll bar",drums,5-speed + reverse,worm and sector,capacity 80 litres,5.50 x 15,5.50 x 15,two-seater berlinetta or spider,-,-,-,2420 mm,1250 mm,1200 mm,"800 kg (dry, berlinetta)",170 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166 Inter Sport,1948,"The Tipo 166 two-litre engine spawned a whole range of sports and single-seater models. In fact, the 166 Sport provided a crossover point between the two categories because, as the Ferrari catalogue of the day pointed out, it could be adapted for international races (hence the name Inter) for two-seater and single-seater sports cars. This was possible thanks to the fact that the lights and the mudguards could be attached and detached to suit the rules, making this a multipurpose model.",60 x 58.8 mm,166.25 cc,1995.02 cc,11 : 1,96 kW (130 hp) at 6500 rpm,65 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 32 DCF carburettors,"single spark plug per cylinder, two magnetos",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","live axle, semi-elliptic springs, hydraulic shock absorbers, anti-roll bar",drums,5-speed + reverse,worm and sector,capacity 75 litres,5.50 x 15,5.50 x 15,two-seater spider,-,-,-,2420 mm,1240 mm,1240 mm,630 kg (dry),215 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166 MM,1948,"Designed for long distance competition, the 166 MM took its name from one of the world’s most famous road races, the Mille Miglia, in which the Maranello cars were to triumph again and again. Its coachwork was built by Touring using the “Superlight” method. The 166 MM was both extremely light and extremely dynamic whilst still maintaining significant structural stiffness. The 166 MM’s engine was also modified for run on “normal” commercially available fuel.",60 x 58.8 mm,166.25 cc,1995.02 cc,10 : 1,103 kW (140 hp) at 6600 rpm,70 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 32 DCF carburettors,"single spark plug per cylinder, two magnetos",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","live axle, semi-elliptic springs, hydraulic shock absorbers, anti-roll bar",drums,5-speed + reverse,worm and sector,capacity 90 litres,5.50 x 15,5.50 x 15,two-seater berlinetta or spider,-,-,-,2200 mm,1250 mm,1200 mm,"650 kg (dry, spider)",220 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195 Inter,1950,"This was a touring-type version of the 195 S, with a more powerful yet more flexible engine which made driving easier for clients unused to extreme performance. Touring, Ghia and Ghia Aigle (the first foreign coachworks to take an active interest in a Ferrari) created a number of different versions, some of which proved to be quite successful in GT racing. The most popular versions of this model, however, were those by Vignale, who produced some stunning personalised coupés for the most exclusive clientele.",65 x 58.8 mm,195.08 cc,2341.02 cc,7.5 : 1,96 kW (130 hp) at 6000 rpm,56 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",single Weber 36 DCF carburettor,"single spark plug per cylinder, two coils",wet sump,single-plate,tubular steel,"independent, unequal-length wishbones. transverse leaf spring, Houdaille hydraulic shock absorbers","live axle, semi-elliptic springs, trailing arms, Houdaille hydraulic shock absorbers",drums,5-speed + reverse,worm and sector,capacity 82 litres,5.90 x 15,5.90 x 15,two-seater coupé,-,-,-,2500 mm,1270 mm,1250 mm,950 kg (dry),180 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195 S,1950,"A further development of the 12-cylinder that reached a displacement of 2,350 cc. The increase in power was combined with a sweeter, more gradual delivery. Just a small number of 195 Ss were produced, with Touring bodying both the open and coupé versions.Giannino Marzotto drove the coupé version to a memorable win at the 1950 Mille Miglia. Marred by bad weather, that particular race is also be remembered for the fact that Marzotto took part wearing in a double breasted suit and tie.",65 x 58.8 mm,195.08 cc,2341.02 cc,8.5 : 1,125 kW (170 hp) at 7000 rpm,73 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 36 DCF carburettors,"single spark plug per cylinder, two coils",wet sump,multi-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","live axle, semi-elliptic springs, hydraulic shock absorbers,anti-roll bar",drums,5-speed + reverse,worm and sector,-,5.50 x 15,6.00 x 15,"two-seater spider, berlinetta",-,-,-,2250 mm,1278 mm,1250 mm,"720 kg (dry, spider)",-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275 S,1950,"The big new Lampredi engine got its first outing in the 275 S sports car at 3322 cc. Two models were built with Touring barchetta bodies and took part in the Mille Miglia held in April 1950. During the race, however, they both encountered transmission difficulties due to the very powerful engine they were mounted with. Nonetheless, the engine immediately showed its potential when it was next used in the single-seater for it had really been designed in the first place. In fact, it took Ascari home in fifth position in the Belgian Grand Prix on June 18 of the same year.",72 x 68 mm,276.86 cc,3322.34 cc,8 : 1,199 kW (270 hp) at 7200 rpm,81 CV/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 40 DCF carburettors,"single spark plug per cylinder, two coils",wet sump,multi-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers","live axle, semi-elliptic springs, hydraulic shock absorbers, anti-roll bar",drums,5-speed + reverse,worm and sector,-,5.50 x 16,5.50 x 16,two-seater spider,-,-,-,2420 mm,1270 mm,1250 mm,850 kg (dry),240 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340 America,1950,"The American market was growing with every year that passed and showed great potential for the Maranello marque. In fact, this model, which was actually based directly on the 340 F1, was created specifically to meet the demands of the new breed of owner. The V12 had designed by Aurelio Lampredi. The first model, designed by Touring, had lines reminiscent of those of the 166 Barchetta. Interesting versions were also produced by Ghia and Vignale, however, and it was with a Vignale Berlinetta, that Gigi Villoresi won the 1951 Mille Miglia.",80 x 68 mm,341.80 cc,4101.66 cc,8 : 1,162 kW (220 hp) at 6000 rpm,54 hp/l,-,"single overhead camshaft per bank, two valves per cylinder",three Weber 40 DCF carburettors,"single spark plug per cylinder, two coils",dry sump,single-plate,tubular steel,"independent, unequal-length wishbones, transverse leaf spring, Houdaille hydraulic shock absorbers","live axle, semi-elliptic springs, Houdaille hydraulic shock absorbers",drums,5-speed + reverse,worm and sector,capacity 135 litres,6.40 x 15,6.40 x 15,"spider, berlinetta, coupé, 2+2 or two-seater",-,-,-,2420 mm,1278 mm,1250 mm,"900 kg (dry, berlinetta)",240 km/h,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
